anno;mes;fecha;subclase-desc;subclase-cod;indice2018;indice2021
2019;10;oct-19;IPC-total;;103.43;0.928372677
2019;11;nov-19;IPC-total;;103.54;0.929360022
2019;12;dic-19;IPC-total;;103.8;0.931693744
2020;1;ene-20;IPC-total;;104.24;0.93564312
2020;2;feb-20;IPC-total;;104.94;0.941926218
2020;3;mar-20;IPC-total;;105.53;0.947221973
2020;4;abr-20;IPC-total;;105.7;0.948747868
2020;5;may-20;IPC-total;;105.36;0.945696078
2020;6;jun-20;IPC-total;;104.97;0.942195494
2020;7;jul-20;IPC-total;;104.97;0.942195494
2020;8;ago-20;IPC-total;;104.96;0.942105736
2020;9;sep-20;IPC-total;;105.29;0.945067768
2020;10;oct-20;IPC-total;;105.23;0.944529216
2020;11;nov-20;IPC-total;;105.08;0.943182838
2020;12;dic-20;IPC-total;;105.48;0.94677318
2021;1;ene-21;IPC-total;;105.91;0.950632798
2021;2;feb-21;IPC-total;;106.58;0.956646621
2021;3;mar-21;IPC-total;;107.12;0.961493582
2021;4;abr-21;IPC-total;;107.76;0.967238129
2021;5;may-21;IPC-total;;108.84;0.976932053
2021;6;jun-21;IPC-total;;108.78;0.976393501
2021;7;jul-21;IPC-total;;109.14;0.979624809
2021;8;ago-21;IPC-total;;109.62;0.98393322
2021;9;sep-21;IPC-total;;110.04;0.987703079
2021;10;oct-21;IPC-total;;110.06;0.987882596
2021;11;nov-21;IPC-total;;110.6;0.992729557
2021;12;dic-21;IPC-total;;111.41;1
;;;;;;
