Año;mes;trim;fecha;subclase-desc;subclase-cod;indice2018;indice2022
2011;9;3;sep-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,22;0,838709677
2011;10;4;oct-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,21;0,838601064
2011;11;4;nov-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,99;0,847072879
2011;12;4;dic-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,02;0,85826002
2012;1;1;ene-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;78,89;0,85684805
2012;2;1;feb-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,18;0,859997828
2012;3;1;mar-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,18;0,859997828
2012;4;2;abr-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,86;0,867383513
2012;5;2;may-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,84;0,867166287
2012;6;2;jun-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,82;0,86694906
2012;7;3;jul-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,77;0,866405995
2012;8;3;ago-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,72;0,86586293
2012;9;3;sep-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,72;0,86586293
2012;10;4;oct-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,72;0,86586293
2012;11;4;nov-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,79;0,866623221
2012;12;4;dic-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;80,46;0,873900293
2013;1;1;ene-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;80,35;0,87270555
2013;2;1;feb-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;80,54;0,874769197
2013;3;1;mar-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;82,10;0,891712827
2013;4;2;abr-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;82,10;0,891712827
2013;5;2;may-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;82,12;0,891930053
2013;6;2;jun-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;82,11;0,89182144
2013;7;3;jul-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;83,02;0,901705224
2013;8;3;ago-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;83,07;0,902248289
2013;9;3;sep-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;83,04;0,90192245
2013;10;4;oct-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;83,03;0,901813837
2013;11;4;nov-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;83,03;0,901813837
2013;12;4;dic-13;Servicios de comunicación fija y móvil y provisión a internet;08310400;82,89;0,900293255
2014;1;1;ene-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;83,16;0,903225806
2014;2;1;feb-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;83,22;0,903877485
2014;3;1;mar-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;84,55;0,918323015
2014;4;2;abr-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;84,50;0,91777995
2014;5;2;may-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;84,48;0,917562724
2014;6;2;jun-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;84,43;0,917019659
2014;7;3;jul-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;84,43;0,917019659
2014;8;3;ago-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;84,42;0,916911046
2014;9;3;sep-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;84,42;0,916911046
2014;10;4;oct-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;84,44;0,917128272
2014;11;4;nov-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;84,98;0,922993375
2014;12;4;dic-14;Servicios de comunicación fija y móvil y provisión a internet;08310400;84,98;0,922993375
2015;1;1;ene-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;84,99;0,923101988
2015;2;1;feb-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;87,05;0,945476268
2015;3;1;mar-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;87,67;0,952210275
2015;4;2;abr-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;87,68;0,952318888
2015;5;2;may-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;87,72;0,95275334
2015;6;2;jun-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;88,06;0,956446182
2015;7;3;jul-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;88,53;0,961550994
2015;8;3;ago-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;88,49;0,961116542
2015;9;3;sep-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;88,44;0,960573477
2015;10;4;oct-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;88,45;0,96068209
2015;11;4;nov-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;88,80;0,964483545
2015;12;4;dic-15;Servicios de comunicación fija y móvil y provisión a internet;08310400;88,88;0,965352449
2016;1;1;ene-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;89,15;0,968285001
2016;2;1;feb-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;89,13;0,968067775
2016;3;1;mar-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;91,22;0,990767894
2016;4;2;abr-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;91,25;0,991093733
2016;5;2;may-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;91,28;0,991419572
2016;6;2;jun-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;91,33;0,991962637
2016;7;3;jul-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;91,94;0,998588031
2016;8;3;ago-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;91,91;0,998262192
2016;9;3;sep-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;93,30;1,0133594
2016;10;4;oct-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;93,11;1,011295753
2016;11;4;nov-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;93,11;1,011295753
2016;12;4;dic-16;Servicios de comunicación fija y móvil y provisión a internet;08310400;93,29;1,013250787
2017;1;1;ene-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;94,83;1,029977191
2017;2;1;feb-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;96,46;1,047681112
2017;3;1;mar-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;97,98;1,06419029
2017;4;2;abr-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;98,28;1,06744868
2017;5;2;may-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;98,24;1,067014228
2017;6;2;jun-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;98,21;1,066688389
2017;7;3;jul-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;98,21;1,066688389
2017;8;3;ago-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;98,20;1,066579776
2017;9;3;sep-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;98,21;1,066688389
2017;10;4;oct-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;98,22;1,066797002
2017;11;4;nov-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;98,33;1,067991745
2017;12;4;dic-17;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,57;1,081459759
2018;1;1;ene-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,60;1,081785598
2018;2;1;feb-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,84;1,08439231
2018;3;1;mar-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,85;1,084500923
2018;4;2;abr-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,86;1,084609536
2018;5;2;may-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,88;1,084826762
2018;6;2;jun-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;101,62;1,103725426
2018;7;3;jul-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;100,16;1,087867927
2018;8;3;ago-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;100,02;1,086347344
2018;9;3;sep-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;100,01;1,086238731
2018;10;4;oct-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;100,01;1,086238731
2018;11;4;nov-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,99;1,086021505
2018;12;4;dic-18;Servicios de comunicación fija y móvil y provisión a internet;08310400;100,00;1,086130118
2019;1;1;ene-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;101,71;1,104702943
2019;2;1;feb-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;101,71;1,104702943
2019;3;1;mar-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;101,71;1,104702943
2019;4;2;abr-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;102,49;1,113174758
2019;5;2;may-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;102,49;1,113174758
2019;6;2;jun-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;102,49;1,113174758
2019;7;3;jul-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;102,86;1,11719344
2019;8;3;ago-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;102,84;1,116976214
2019;9;3;sep-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;102,84;1,116976214
