Country;Variable;2018A;2019A;2020A;2021A;2022E;2023E;2024E;2025E;2026E;2027E
Mexico;Internet fijo;18486,38906;20349,75429;23450,48134;26215,7134;28579,43282;30804,06503;32924,54703;35005,35349;37120,71066;39288,52512
Nicaragua;Población;6465,513;6545,513;6624,563;6702,387;6779,103;6855,184;6931,33;7008,01;7085,361;7163,095
Nicaragua;Hogares;1593,876;1643,414;1692,813;1743,785;1794,559;1845,251;1896,049;1947,089;1988,465;2030,587
Nicaragua;Telefonía fija;371,9133364;368,0534094;366,5205819;372,9445643;380,8654453;389,0585546;397,8066071;407,5621679;417,6920497;427,7998516
Nicaragua;Internet fijo;368,1644053;391,117117;428,9519748;463,8949176;499,6582582;536,2312412;573,5912311;612,3272439;653,5266054;698,1949907
Panama;Población;4176,868;4246,44;4314,768;4381,58;4446,965;4510,966;4573,762;4635,502;4696,096;4755,487
Panama;Hogares;1193,392;1220,023;1246,978;1272,091;1297,014;1321,773;1346,442;1371,079;1395,579;1419,92
Panama;Telefonía fija;495,1303935;424,0336614;405,9100009;434,4147013;446,2395627;451,4022174;452,3883482;448,8187232;445,9079857;440,3358523
Panama;Internet fijo;463,1547646;513,5298767;554,9509411;602,4146767;626,9142231;649,2315141;671,48922;694,6067813;718,3824098;742,0195082
Paraguay;Población;7052,983;7152,703;7252,672;7353,038;7453,695;7554,796;7656,215;7758,263;7858,824;7957,808
Paraguay;Hogares;1921,794;1952,871;1984,134;2015,622;2047,309;2077,156;2107,147;2137,37;2167,242;2196,736
Paraguay;Telefonía fija;463,9638556;460,8415093;452,6784753;448,6702278;437,925735;420,8820362;400,6996305;377,5834468;350,5682365;318,1138377
Paraguay;Internet fijo;343,345965;355,5707377;365,7849171;376,107969;388,1414476;404,9554328;424,5233125;446,7169693;472,3353641;503,1325582
Peru;Población;32162,184;32495,51;32824,358;33149,016;33470,569;33788,589;34102,668;34412,393;34718,378;35020,909
Peru;Hogares;9013,223;9215,007;9419,663;9627,234;9836,143;10046,246;10257,4;10469,454;10683,875;10900,766
Peru;Telefonía fija;3003,315216;2798,543069;2551,507736;2367,204524;2180,510642;1985,150614;1801,996123;1631,393565;1482,87055;1361,490219
Peru;Internet fijo;2613,446799;2431,83039;2750,6409;3017,135379;3387,571404;3814,6676;4258,290237;4698,69355;5133,928217;5559,983657
Uruguay;Población;3505,985;3518,552;3530,912;3543,026;3554,915;3566,55;3577,896;3588,937;3599,663;3610,035
Uruguay;Hogares;1265,734;1280,303;1294,873;1309,442;1324,011;1338,58;1353,149;1367,718;1382,287;1396,856
Uruguay;Telefonía fija;1153,899755;1200,912795;1263,750144;1156,713503;1154,134202;1140,220413;1120,085057;1098,390524;1073,160383;1047,011165
Uruguay;Internet fijo;974,935;1019,586712;1054,08753;1105,458;1147,036872;1179,923083;1209,849731;1239,902732;1268,0389;1292,718063
Argentina;TV por suscripción;9463,512925;9550,809423;9727,892171;9714,169369;9789,149317;9878,459367;9975,821911;10083,38438;10207,74282;10325,1185
Bolivia;TV por suscripción;475,2452276;604,3688003;660,7381371;618,4187203;687,2631673;736,6259176;779,7801499;818,3651312;850,3945372;882,356728
Brazil;TV por suscripción;18047,112;17603,097;15783,563;14828,41;13662,669;13336,98686;13093,79062;12861,91026;12638,22107;12469,8057
Chile;TV por suscripción;3294,954;3329,543;3259,539;3269,841;3460,02656;3575,500869;3696,809913;3822,024051;3939,09522;4047,692972
Colombia;TV por suscripción;5420,300606;5529,855839;5639,523637;5795,650408;5714,303406;5711,288346;5720,954784;5733,711434;5746,089602;5759,444016
Costa Rica;TV por suscripción;830,5424937;879,4633835;856,9802568;838,3817739;806,1794286;776,9142987;749,5982707;728,9662161;710,3513596;695,3028325
Ecuador;TV por suscripción;1308,933035;1279,123738;1107,327722;1012,757058;802,741914;715,3473174;644,9048148;591,3091554;549,2022243;517,6422323
El Salvador;TV por suscripción;366,1609415;389,6969555;413,7634573;430,9570605;447,8813086;462,5847456;475,8443325;487,1355554;496,4036822;499,9483812
Guatemala;TV por suscripción;590,6249546;736,2082572;876,7617516;987,446194;1010,137526;1030,373004;1046,38366;1058,679818;1067,565224;1071,153401
Honduras;TV por suscripción;377,9478823;404,0309892;430,1129265;453,049401;464,2650621;490,3407487;520,7988933;553,5082396;586,4235325;622,3640212
Mexico;TV por suscripción;21046,225;18140,915;17531,176;18048,409;18338,30894;18567,25072;18703,11083;18795,13963;18877,66637;18957,3336
